current,filename,current_subfolder,score_5_plex,score_6_plex,verdict
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log_v4.xlsx,Allendale_QS_cost_log_v4.xlsx,_NeedsReview,3,2,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6Unit_ProForma.xlsx,Allendale_6Unit_ProForma.xlsx,_NeedsReview,0,1,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_CMHC_Cover_Memo.docx,Allendale_6408_CMHC_Cover_Memo.docx,_NeedsReview,3,1,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-001 Allendale Billing #1 26_08_2025.pdf,E2025-07-CI-001 Allendale Billing #1 26_08_2025.pdf,_NeedsReview,2,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log.xlsx,Allendale_QS_cost_log.xlsx,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Complete_with_Docusign_Allendale_61_INC_GSA.zip,Complete_with_Docusign_Allendale_61_INC_GSA.zip,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,_NeedsReview,2,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/CCDC Allendale Evara Project 6408 106 St.pdf,CCDC Allendale Evara Project 6408 106 St.pdf,_NeedsReview,2,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/SharePledge_Allendale61.pdf,SharePledge_Allendale61.pdf,_NeedsReview,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/10646 61 Ave Allendale 6 Plex - 002.pdf,10646 61 Ave Allendale 6 Plex - 002.pdf,_NeedsReview,0,3,Allendale 6-Plex (10646 61 Ave)
