from,to,project,subfolder,status,size
/Users/sunniyaremchuk/Allendale_Equity_SoftCosts_Styled (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_SoftCosts_Styled (1).xlsx,Allendale (generic),_NeedsReview,primary,6108
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW - Schedule_B - Sepcifications (1).pdf,10612 127 Street NW,Contracts,duplicate,545271
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule A - Plans (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/10612 - 127 STREET NW - Schedule A - Plans (1).pdf,10612 127 Street NW,Contracts,primary,1376497
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule M - Project Utility Metering.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Schedule M - Project Utility Metering.pdf,10612 127 Street NW,Contracts,duplicate,214817
/Users/sunniyaremchuk/106 Street Property.pdf,/Users/sunniyaremchuk/RealEstate_Organized/106 Street Property/_NeedsReview/106 Street Property.pdf,106 Street Property,_NeedsReview,primary,8033545
/Users/sunniyaremchuk/Schedule_G_Completion Addendum 9121 152St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/Contracts/Schedule_G_Completion Addendum 9121 152St.pdf,Verum (9121 152 St),Contracts,primary,5333
/Users/sunniyaremchuk/Allendale6408 106 Street NW Title (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale6408 106 Street NW Title (1).pdf,Allendale (generic),_NeedsReview,primary,40975
/Users/sunniyaremchuk/Allendale 1 Budget (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 1 Budget (1).xlsx,Allendale (generic),Financials,primary,30837
"/Users/sunniyaremchuk/LOI - 15981 110B Ave, Edmonton.pdf","/Users/sunniyaremchuk/RealEstate_Organized/15981 110B Ave NW (9-Plex)/_NeedsReview/LOI - 15981 110B Ave, Edmonton.pdf",15981 110B Ave NW (9-Plex),_NeedsReview,primary,284066
/Users/sunniyaremchuk/Allendale_QS.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS.xlsx,Allendale (generic),_NeedsReview,primary,6675
/Users/sunniyaremchuk/Mayfield_110_Cost_Breakdown_updated_to_2_5M.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/Mayfield_110_Cost_Breakdown_updated_to_2_5M.xlsx,Mayfield 110,_NeedsReview,primary,4597693
/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Landridge Homes-Sales Contract.pdf,10612 127 Street NW,Contracts,duplicate,1022641
/Users/sunniyaremchuk/10612 - 127 STREET NW- Addendum (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/10612 - 127 STREET NW- Addendum (2).pdf,10612 127 Street NW,Contracts,primary,303223
/Users/sunniyaremchuk/15313 6-Unit Complex 10646 61 Ave Allendale DRAFT.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/15313 6-Unit Complex 10646 61 Ave Allendale DRAFT.pdf,Allendale (generic),_NeedsReview,primary,5839714
/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Verum (9121 152 St)/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (2).pdf,Verum (9121 152 St),_NeedsReview,duplicate,289580
/Users/sunniyaremchuk/Allendale_Partner_Meeting_Pack_FINAL.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Partner_Meeting_Pack_FINAL.docx,Allendale (generic),_NeedsReview,primary,42303
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C (2) (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/10612 - 127 STREET NW- Schedule C (2) (1).pdf,10612 127 Street NW,Contracts,primary,785582
/Users/sunniyaremchuk/9121 152 ST PV.1.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/9121 152 ST PV.1.pdf,Verum (9121 152 St),_NeedsReview,primary,684242
/Users/sunniyaremchuk/Allendale_Equity_SoftCosts_Model.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_SoftCosts_Model.xlsx,Allendale (generic),_NeedsReview,primary,7039
/Users/sunniyaremchuk/Allendale_Summary 10646 61 Ave.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Summary 10646 61 Ave.docx,Allendale (generic),_NeedsReview,primary,31432
/Users/sunniyaremchuk/Invoice Assignment Fee 10612 127 St  (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/Invoice Assignment Fee 10612 127 St  (1).pdf,10612 127 Street NW,Contracts,duplicate,27884
/Users/sunniyaremchuk/HS Engagement Letter - 6408 106 St. - Final -.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/HS Engagement Letter - 6408 106 St. - Final -.pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,330724
/Users/sunniyaremchuk/Invoice 10612 127 ST NW.pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Financials/Invoice 10612 127 ST NW.pdf,10612 127 Street NW,Financials,primary,27883
/Users/sunniyaremchuk/6408_106_St_TRUE_Soft_Costs_Only (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/6408_106_St_TRUE_Soft_Costs_Only (1).xlsx,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,5696
/Users/sunniyaremchuk/Assignment Agreement- Jasper Park.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Contracts/Assignment Agreement- Jasper Park.pdf,Jasper Park,Contracts,primary,298668
/Users/sunniyaremchuk/Ltr -Contract termination Allendale 5plex.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Ltr -Contract termination Allendale 5plex.pdf,Allendale (generic),Contracts,duplicate,219458
/Users/sunniyaremchuk/Allendale 61 INC. GSA .pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 61 INC. GSA .pdf,Allendale (generic),_NeedsReview,primary,111906
/Users/sunniyaremchuk/Allendale_Equity_SoftCosts_Styled (2).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_SoftCosts_Styled (2).xlsx,Allendale (generic),_NeedsReview,primary,10213
/Users/sunniyaremchuk/10612 - 127 STREET NW- Addendum.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Addendum.pdf,10612 127 Street NW,Contracts,duplicate,303223
/Users/sunniyaremchuk/Jasper Park Budget v3.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Jasper Park/Jasper Park Budget v3.xlsx,Jasper Park,Financials,duplicate,36040
/Users/sunniyaremchuk/Mayfield_110_Cost_Breakdown_with_PaidToDate.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/Mayfield_110_Cost_Breakdown_with_PaidToDate.xlsx,Mayfield 110,_NeedsReview,primary,4335173
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule M - Project Utility Metering (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/10612 - 127 STREET NW- Schedule M - Project Utility Metering (2).pdf,10612 127 Street NW,Contracts,primary,214817
/Users/sunniyaremchuk/2441288-SurveyPlan Allendale 6408 Survey.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Plans & Permits/2441288-SurveyPlan Allendale 6408 Survey.pdf,Allendale (generic),Plans & Permits,primary,455721
/Users/sunniyaremchuk/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1) (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/Jasper Place 9121 152 St  LOI - Revised - February 4 2026 (1) (1).pdf,Verum (9121 152 St),_NeedsReview,primary,410496
