from,to,project,subfolder,status,size
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule R - Rental Guarantee Acknowledgment (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/10612 - 127 STREET NW - Schedule R - Rental Guarantee Acknowledgment (1).pdf,10612 127 Street NW,Contracts,primary,208861
/Users/sunniyaremchuk/Purchase Contract- 10407 45 St (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10407 45 Ave NW/Contracts/Purchase Contract- 10407 45 St (1).pdf,10407 45 Ave NW,Contracts,primary,347638
/Users/sunniyaremchuk/9121 152 ST NW Plans.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/Plans & Permits/9121 152 ST NW Plans.pdf,Verum (9121 152 St),Plans & Permits,primary,1985223
/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left (2).jpg,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/10646 61 Ave Allendale - Front & Left (2).jpg,Allendale (generic),Photos,duplicate,184112
/Users/sunniyaremchuk/Allendale_5Plex_Updated_Hard_Costs.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_5Plex_Updated_Hard_Costs.xlsx,Allendale (generic),_NeedsReview,primary,10720
/Users/sunniyaremchuk/15981 110B Ave NW Term Sheet (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/15981 110B Ave NW (9-Plex)/_NeedsReview/15981 110B Ave NW Term Sheet (1).pdf,15981 110B Ave NW (9-Plex),_NeedsReview,primary,3542423
/Users/sunniyaremchuk/Allendale_Complete_Model.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Complete_Model.xlsx,Allendale (generic),_NeedsReview,primary,7185
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Schedule C (2).pdf,10612 127 Street NW,Contracts,duplicate,785582
/Users/sunniyaremchuk/Allendale_ Cost Breakdown.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale_ Cost Breakdown.xlsx,Allendale (generic),Financials,primary,4413826
/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left (3).jpg,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/10646 61 Ave Allendale - Front & Left (3).jpg,Allendale (generic),Photos,duplicate,184112
/Users/sunniyaremchuk/Allendale_Equity_SoftCosts_Styled.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_SoftCosts_Styled.xlsx,Allendale (generic),_NeedsReview,primary,10235
/Users/sunniyaremchuk/Allendale_Investment_Proposal_.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investment_Proposal_.docx,Allendale (generic),_NeedsReview,primary,31637
/Users/sunniyaremchuk/CCDC Allendale Evara Project 6408 106 St (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/CCDC Allendale Evara Project 6408 106 St (1).pdf,Allendale (generic),_NeedsReview,primary,626016
/Users/sunniyaremchuk/Allendale_Cost To Date Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale_Cost To Date Summary.xlsx,Allendale (generic),Financials,primary,14811
/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Landridge Homes-Sales Contract (1).pdf,10612 127 Street NW,Contracts,duplicate,1022641
"/Users/sunniyaremchuk/14858, 8 Unit Complex, Sunrize Investments, 9121 152 Street, Jasper Park, FINAL (1).pdf","/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/_NeedsReview/14858, 8 Unit Complex, Sunrize Investments, 9121 152 Street, Jasper Park, FINAL (1).pdf",Jasper Park,_NeedsReview,primary,5576342
/Users/sunniyaremchuk/Assignment Agreement- High Park.pdf,/Users/sunniyaremchuk/RealEstate_Organized/High Park 9-Plex/Contracts/Assignment Agreement- High Park.pdf,High Park 9-Plex,Contracts,primary,399839
/Users/sunniyaremchuk/Allendale_Master_Budget_Sources_Uses.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Budget_Sources_Uses.xlsx,Allendale (generic),_NeedsReview,primary,6184
"/Users/sunniyaremchuk/14858, 8 Unit Complex, Sunrize Investments, 9121 152 Street, Jasper Park, FINAL.pdf","/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Jasper Park/14858, 8 Unit Complex, Sunrize Investments, 9121 152 Street, Jasper Park, FINAL.pdf",Jasper Park,_NeedsReview,duplicate,5576342
/Users/sunniyaremchuk/Allendale_Investment_Proposal_50-50_JV.docx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale_Investment_Proposal_50-50_JV.docx,Allendale (generic),_NeedsReview,duplicate,31637
/Users/sunniyaremchuk/Allendale_Master_Budget_Sources_Uses_UPDATED.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Master_Budget_Sources_Uses_UPDATED.xlsx,Allendale (generic),_NeedsReview,primary,6386
/Users/sunniyaremchuk/Jasper_Park_Project_Budget_v3.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/_NeedsReview/Jasper_Park_Project_Budget_v3.xlsx,Jasper Park,_NeedsReview,primary,30390
/Users/sunniyaremchuk/Mayfield 110B.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/Mayfield 110B.xlsx,Mayfield 110,_NeedsReview,primary,21118
/Users/sunniyaremchuk/Pro-forma Allendale 5 Unit .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Pro-forma Allendale 5 Unit .xlsx,Allendale (generic),Financials,duplicate,8888
/Users/sunniyaremchuk/Allendale Investment_Summary (1).docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale Investment_Summary (1).docx,Allendale (generic),_NeedsReview,primary,17082
/Users/sunniyaremchuk/Purchase Contract 10407 45 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/10407 45 Ave NW/Contracts/Purchase Contract 10407 45 St.pdf,10407 45 Ave NW,Contracts,primary,436217
/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2) (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2) (2).pdf,Allendale (generic),_NeedsReview,duplicate,98490
/Users/sunniyaremchuk/Documents/6408_106_St_Soft_Costs_Equity_Injected.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 5-Plex (6408 106 St)/6408_106_St_Soft_Costs_Equity_Injected.xlsx,Allendale 5-Plex (6408 106 St),_NeedsReview,duplicate,5927
"/Users/sunniyaremchuk/Documents/Land deposit-$25,000-10612 127 ST.pdf","/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/_NeedsReview/Land deposit-$25,000-10612 127 ST.pdf",10612 127 Street NW,_NeedsReview,primary,732902
/Users/sunniyaremchuk/Documents/6408_106_St_TRUE_Soft_Costs_Only.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 5-Plex (6408 106 St)/6408_106_St_TRUE_Soft_Costs_Only.xlsx,Allendale 5-Plex (6408 106 St),_NeedsReview,duplicate,5696
"/Users/sunniyaremchuk/Documents/24-48-Allendale Five-Plex- Progress April 14, 2025.pdf","/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/24-48-Allendale Five-Plex- Progress April 14, 2025.pdf",Allendale (generic),_NeedsReview,primary,6527652
/Users/sunniyaremchuk/Documents/Engagement Letter - 9121 - 152 Street (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/Engagement Letter - 9121 - 152 Street (2).pdf,Verum (9121 152 St),_NeedsReview,primary,438591
/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (1).pdf,Allendale (generic),_NeedsReview,duplicate,101918
/Users/sunniyaremchuk/Documents/15981 110B Ave Contract.docx.pdf,/Users/sunniyaremchuk/RealEstate_Organized/15981 110B Ave NW (9-Plex)/Contracts/15981 110B Ave Contract.docx.pdf,15981 110B Ave NW (9-Plex),Contracts,primary,328396
/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (1).pdf,Allendale (generic),_NeedsReview,duplicate,98490
/Users/sunniyaremchuk/Documents/6408_106_St_TRUE_Soft_Costs_Only (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/6408_106_St_TRUE_Soft_Costs_Only (1) (2).xlsx,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,9927
/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2) (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2) (1).pdf,Allendale (generic),_NeedsReview,duplicate,101918
/Users/sunniyaremchuk/Documents/Engagement Letter - 9121 - 152 Street.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Verum (9121 152 St)/Engagement Letter - 9121 - 152 Street.pdf,Verum (9121 152 St),_NeedsReview,duplicate,334676
"/Users/sunniyaremchuk/Documents/13799, Sundia Inc, 15981 110B Avenue, Mayfield 9-Unit Multi-Family Complex.pdf","/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/13799, Sundia Inc, 15981 110B Avenue, Mayfield 9-Unit Multi-Family Complex.pdf",Mayfield 110,_NeedsReview,primary,9122110
/Users/sunniyaremchuk/Documents/15981 110b Ave NW WDV.1 (GARAGE).pdf,/Users/sunniyaremchuk/RealEstate_Organized/15981 110B Ave NW (9-Plex)/_NeedsReview/15981 110b Ave NW WDV.1 (GARAGE).pdf,15981 110B Ave NW (9-Plex),_NeedsReview,primary,525024
/Users/sunniyaremchuk/Documents/Allendale_Soft_Cost 6408 106 St.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale_Soft_Cost 6408 106 St.xlsx,Allendale (generic),_NeedsReview,duplicate,5809
/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025.pdf,Allendale (generic),_NeedsReview,duplicate,98490
/Users/sunniyaremchuk/Documents/Allendale_Soft_Cost 6408 106 St (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Soft_Cost 6408 106 St (1).xlsx,Allendale (generic),_NeedsReview,primary,5809
/Users/sunniyaremchuk/Documents/Allendale_Soft Cost 6408 106 ST.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale_Soft Cost 6408 106 ST.xlsx,Allendale (generic),_NeedsReview,duplicate,5809
/Users/sunniyaremchuk/Documents/15981 110b Ave NW WDV.3.pdf,/Users/sunniyaremchuk/RealEstate_Organized/15981 110B Ave NW (9-Plex)/_NeedsReview/15981 110b Ave NW WDV.3.pdf,15981 110B Ave NW (9-Plex),_NeedsReview,primary,2440280
/Users/sunniyaremchuk/Documents/CCDC2_MAYFIELD_110.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/CCDC2_MAYFIELD_110.pdf,Mayfield 110,_NeedsReview,primary,711280
/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2) (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2) (2).pdf,Allendale (generic),_NeedsReview,duplicate,101918
/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (4).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (4).pdf,Allendale (generic),_NeedsReview,primary,101638
/Users/sunniyaremchuk/Documents/ALLENDALE PRIVATE FINANCING 5 PLEX BUDGET.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/ALLENDALE PRIVATE FINANCING 5 PLEX BUDGET.pdf,Allendale (generic),Financials,primary,62569
/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2).pdf,Allendale (generic),_NeedsReview,duplicate,98490
/Users/sunniyaremchuk/Documents/6-Units Allendale Cost Breakdown.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/6-Units Allendale Cost Breakdown.xlsx,Allendale (generic),Financials,primary,9515
/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-003 Allendale Claim 2 24_11_2025.pdf,Allendale (generic),_NeedsReview,duplicate,101918
/Users/sunniyaremchuk/Documents/CCDC Allendale Evara Project 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/CCDC Allendale Evara Project 6408 106 St.pdf,Allendale (generic),_NeedsReview,duplicate,618922
/Users/sunniyaremchuk/Documents/Engagement Letter - 9121 - 152 Street (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/Engagement Letter - 9121 - 152 Street (1).pdf,Verum (9121 152 St),_NeedsReview,primary,334676
/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (2).pdf,Allendale (generic),_NeedsReview,duplicate,101918
/Users/sunniyaremchuk/Documents/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (3).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-003 Allendale Claim 2 24_11_2025 (3).pdf,Allendale (generic),_NeedsReview,duplicate,101918
/Users/sunniyaremchuk/Documents/6408_106_St_Soft_Costs_Equity_Injected (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/6408_106_St_Soft_Costs_Equity_Injected (1).xlsx,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,5927
/Users/sunniyaremchuk/Documents/CCDC2 MAYFIELD 110.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Mayfield 110/_NeedsReview/CCDC2 MAYFIELD 110.pdf,Mayfield 110,_NeedsReview,primary,625811
/Users/sunniyaremchuk/Documents/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2) (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/E2025-07-CI-001 Allendale Billing #1 - 26_08_2025 (2) (1).pdf,Allendale (generic),_NeedsReview,duplicate,98490
/Users/sunniyaremchuk/Documents/Claude/Projects/Allendale 1/CMHC Submission Package/Allendale 6408 Cost Overview - CLEAN.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6408 Cost Overview - CLEAN.xlsx,Allendale (generic),_NeedsReview,primary,21497
/Users/sunniyaremchuk/Documents/Claude/Projects/Allendale 1/CMHC Submission Package/Allendale 6408 Cost Overview - FINAL.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6408 Cost Overview - FINAL.xlsx,Allendale (generic),_NeedsReview,primary,39366
/Users/sunniyaremchuk/Documents/Claude/Projects/Allendale 1/CMHC Submission Package/Allendale_6408_Cost-to-Date.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_Cost-to-Date.xlsx,Allendale (generic),_NeedsReview,primary,21323
/Users/sunniyaremchuk/Documents/Claude/Projects/Allendale 1/CMHC Submission Package/Allendale_6408_5-Plex_BTY_Draft.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_5-Plex_BTY_Draft.xlsx,Allendale (generic),_NeedsReview,primary,28726
/Users/sunniyaremchuk/Documents/Claude/Projects/Allendale 1/CMHC Submission Package/Allendale_6408_CMHC_Budget_$1.7M.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_CMHC_Budget_$1.7M.xlsx,Allendale (generic),_NeedsReview,primary,19968
/Users/sunniyaremchuk/Documents/Claude/Projects/Allendale 1/CMHC Submission Package/Allendale_6408_CMHC_Cover_Memo.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_CMHC_Cover_Memo.docx,Allendale (generic),_NeedsReview,primary,17131
/Users/sunniyaremchuk/Documents/Claude/Projects/Allendale 1/CMHC Submission Package/Allendale_6408_CMHC_Document_Index.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_CMHC_Document_Index.docx,Allendale (generic),_NeedsReview,primary,24961
/Users/sunniyaremchuk/Downloads/Allendale_Sources_Uses_1.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Sources_Uses_1.xlsx,Allendale (generic),_NeedsReview,primary,10286
/Users/sunniyaremchuk/Downloads/Allendale_Partner_Steps.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Partner_Steps.xlsx,Allendale (generic),_NeedsReview,primary,8653
/Users/sunniyaremchuk/Downloads/Allendale_6408_Cost_Overview_-_CLEAN.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6408_Cost_Overview_-_CLEAN.xlsx,Allendale (generic),_NeedsReview,primary,31935
/Users/sunniyaremchuk/Downloads/Allendale_Lender_Final.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Lender_Final.xlsx,Allendale (generic),_NeedsReview,primary,20800
/Users/sunniyaremchuk/Downloads/Allendale_Deal_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Deal_Summary.xlsx,Allendale (generic),_NeedsReview,primary,10147
/Users/sunniyaremchuk/Downloads/Lake_Ridge_Builder_Emails.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Lake Ridge/_NeedsReview/Lake_Ridge_Builder_Emails.xlsx,Lake Ridge,_NeedsReview,primary,11548
/Users/sunniyaremchuk/Downloads/Allendale_Deal_Summary_2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Deal_Summary_2.xlsx,Allendale (generic),_NeedsReview,primary,11430
/Users/sunniyaremchuk/Downloads/Lake_Ridge_Builder_Outreach_v2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Lake Ridge/_NeedsReview/Lake_Ridge_Builder_Outreach_v2.xlsx,Lake Ridge,_NeedsReview,primary,15841
/Users/sunniyaremchuk/Downloads/Allendale_Investor_Report_1.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report_1.xlsx,Allendale (generic),_NeedsReview,primary,20027
/Users/sunniyaremchuk/Downloads/Allendale_Build_Cost_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Build_Cost_Summary.xlsx,Allendale (generic),_NeedsReview,primary,11693
/Users/sunniyaremchuk/Downloads/Allendale_Build_Cost_Summary_1.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale_Build_Cost_Summary_1.xlsx,Allendale (generic),_NeedsReview,duplicate,11693
/Users/sunniyaremchuk/Downloads/Allendale_Cost_Summary_Simple.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Cost_Summary_Simple.xlsx,Allendale (generic),_NeedsReview,primary,8507
/Users/sunniyaremchuk/Downloads/Lake_Ridge_Estates_Price_List.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Lake Ridge/_NeedsReview/Lake_Ridge_Estates_Price_List.xlsx,Lake Ridge,_NeedsReview,primary,10811
/Users/sunniyaremchuk/Downloads/Manhattan Henock .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Manhattan/_NeedsReview/Manhattan Henock .xlsx,Manhattan,_NeedsReview,primary,35506
/Users/sunniyaremchuk/Downloads/Allendale_Deal_Summary_1.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Deal_Summary_1.xlsx,Allendale (generic),_NeedsReview,primary,11710
/Users/sunniyaremchuk/Downloads/Allendale_Investor_Report_2.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report_2.xlsx,Allendale (generic),_NeedsReview,primary,21444
/Users/sunniyaremchuk/Downloads/Allendale_Investor_Report_3.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report_3.xlsx,Allendale (generic),_NeedsReview,primary,23327
/Users/sunniyaremchuk/Downloads/Allendale_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale_Summary.xlsx,Allendale (generic),_NeedsReview,duplicate,11693
/Users/sunniyaremchuk/Downloads/Allendale_Sources_Uses.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Sources_Uses.xlsx,Allendale (generic),_NeedsReview,primary,10036
/Users/sunniyaremchuk/Downloads/Allendale_Investor_Report.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investor_Report.xlsx,Allendale (generic),_NeedsReview,primary,19890
/Users/sunniyaremchuk/Downloads/Allendale 5 Unit Budget .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 5 Unit Budget .xlsx,Allendale (generic),Financials,primary,97297
/Users/sunniyaremchuk/Downloads/Allendale_CMHC_Budget.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_CMHC_Budget.xlsx,Allendale (generic),_NeedsReview,primary,20440
/Users/sunniyaremchuk/Downloads/Lake_Ridge_Builder_Outreach_List.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Lake Ridge/_NeedsReview/Lake_Ridge_Builder_Outreach_List.xlsx,Lake Ridge,_NeedsReview,primary,12518
/Users/sunniyaremchuk/Downloads/Allendale 6 Unit .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6 Unit .xlsx,Allendale (generic),_NeedsReview,primary,22454
/Users/sunniyaremchuk/Downloads/commitmentletter6408106st 2/Peakhill Commitment Letter 6408 106 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 5-Plex (6408 106 St)/Peakhill Commitment Letter 6408 106 St (2).pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,duplicate,465100
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Purchase Contract 10646 106 St Seller signed.pdf,/Users/sunniyaremchuk/RealEstate_Organized/10646 106 St NW/Contracts/Purchase Contract 10646 106 St Seller signed.pdf,10646 106 St NW,Contracts,primary,3655455
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_Holding_Cost_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Holding_Cost_Summary.xlsx,Allendale (generic),_NeedsReview,primary,5132
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Inc. Investment Summary (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 6-Plex (10646 61 Ave)/10646 61 Inc. Investment Summary (1) (2).xlsx,Allendale 6-Plex (10646 61 Ave),Financials,duplicate,4527054
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale Investment_Summary.docx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale Investment_Summary (2).docx,Allendale (generic),_NeedsReview,duplicate,17082
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_Project_Cost.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Project_Cost.xlsx,Allendale (generic),_NeedsReview,primary,9943
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_6Plex_Full_Partner_Model.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_6Plex_Full_Partner_Model.xlsx,Allendale (generic),_NeedsReview,primary,10659
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_Investment_Summary.docx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Investment_Summary.docx,Allendale (generic),_NeedsReview,primary,15782
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_CMHC_Refi_Scenarios.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_CMHC_Refi_Scenarios.pdf,Allendale (generic),_NeedsReview,primary,6550
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale_Equity_Model_soft149166.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_Model_soft149166.xlsx,Allendale (generic),_NeedsReview,primary,6206
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Title .pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 6-Plex (10646 61 Ave)/10646 61 Ave Title .pdf,Allendale 6-Plex (10646 61 Ave),_NeedsReview,duplicate,41003
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Allendale - Front & Left (4).jpg,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/10646 61 Ave Allendale - Front & Left (4).jpg,Allendale (generic),Photos,primary,184112
/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Allendale - Front & Right.jpg,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Photos/10646 61 Ave Allendale - Front & Right.jpg,Allendale (generic),Photos,primary,195095
