group_id,is_keeper,file,viewUrl,size,modified,project,current_path
58,no,Invoice_000475_from_Offset_Excavating_Ltd.pdf,https://drive.google.com/file/d/1sEcQeIo0q94CFDyUZDZ9QYyV67tYDYAo/view?usp=drivesdk,23602,2025-11-26T17:17:55Z,,
58,no,Invoice_000475_from_Offset_Excavating_Ltd.pdf,https://drive.google.com/file/d/1--zO5gXGgCW_fUs04ThXwWLElErhadKw/view?usp=drivesdk,23602,2025-11-13T17:11:00Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
59,YES,Invoice_10353_from_OASIS_ENGINEERING_GROUP_LTD.pdf,https://drive.google.com/file/d/1-zGTwgq4IgzZTi5In7_EfAeq2pssaz5e/view?usp=drivesdk,35537,2026-03-23T20:07:33.433Z,Jasper Park,Jasper Park/Jasper Park-Invoice
59,no,Invoice_10353_from_OASIS_ENGINEERING_GROUP_LTD.pdf,https://drive.google.com/file/d/1gBsURCsXW_okssE87XdXeDgqXltf2HDT/view?usp=drivesdk,35537,2025-11-10T18:38:07Z,Jasper Park,Jasper Park/Jasper Park-Invoice
60,YES,"Income Statement Sep 30, 2024 - Sundia.pdf",https://drive.google.com/file/d/1G2yhNYut-spPoE2ILtp-4dFmCx6RvC52/view?usp=drivesdk,266930,2026-03-23T19:58:52.654Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
60,no,"Income Statement Sep 30, 2024 - Sundia.pdf",https://drive.google.com/file/d/1Z5iILpliVwLHsK7_NOUVBHdE80qvLzPO/view?usp=drivesdk,266930,2025-10-23T17:53:04.604Z,Mayfield 110,Mayfield 110/Purchasing & Corp.
61,YES,"Balance Sheet Sep 30, 2024- Sundia.pdf",https://drive.google.com/file/d/1arYrB3pvXvktqkA_JmNB9W6ZS0rMn1Sm/view?usp=drivesdk,143500,2026-03-23T19:58:52.645Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
61,no,"Balance Sheet Sep 30, 2024- Sundia.pdf",https://drive.google.com/file/d/1brSlRDylsGIhsjpDCfEPO3MJbHuRV3co/view?usp=drivesdk,143500,2025-10-23T17:53:04.599Z,Mayfield 110,Mayfield 110/Purchasing & Corp.
62,YES,SUN003HDServices invoice.pdf,https://drive.google.com/file/d/1kPt2bgPAaK2wuoLhfJ0pY4J1bSdnk3qB/view?usp=drivesdk,3439888,2026-03-23T19:55:30.790Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
62,no,SUN003HDServices invoice.pdf,https://drive.google.com/file/d/1mCbocPed4bTeQXtc5atm9y-mfEIjdqWk/view?usp=drivesdk,3439888,2025-11-26T17:17:17Z,Allendale (generic),Allendale 6408 106/5-Unit Receipts 
62,no,SUN003HDServices invoice.pdf,https://drive.google.com/file/d/102QjXNSVVocukeptjb2wJszB2tGie3Ms/view?usp=drivesdk,3439888,2025-11-06T20:05:28Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
63,YES,Diamante reciept.pdf,https://drive.google.com/file/d/1q3W0s0dMafcxnpeyhoK_OaMCxI6-HGzp/view?usp=drivesdk,164220,2026-03-23T19:22:26.889Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
63,no,Diamante reciept.pdf,https://drive.google.com/file/d/14A9eu-1DHo4l601SBrm3JUIbUhkGlIXV/view?usp=drivesdk,164220,2025-08-01T02:49:36.003Z,Jasper Park,Jasper Park/Jasper Park-Invoice
64,YES,Diamante NUANS.pdf,https://drive.google.com/file/d/1cxGZP6_fqYpQGVcAbB83P1II6B6vOxfE/view?usp=drivesdk,4097521,2026-03-23T19:22:26.733Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
64,no,Diamante NUANS.pdf,https://drive.google.com/file/d/12w45pBn4riHIQOeI9O11r9rQj3kdTQnP/view?usp=drivesdk,4097521,2025-08-01T02:49:36.014Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
65,YES,Diamante CERT.pdf,https://drive.google.com/file/d/17Pj_93CW_jzHp2eim17VHJ-DUeCpsFdi/view?usp=drivesdk,47336,2026-03-23T19:22:26.719Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
65,no,Diamante CERT.pdf,https://drive.google.com/file/d/1_rAscfRfga2ShN5nOtYQmPWLIktP-ZeG/view?usp=drivesdk,47336,2025-08-01T02:49:36.031Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
66,YES,Diamante ART.pdf,https://drive.google.com/file/d/1-aaqSUta4kv8W7jqSbTH-1YuHlmmywU8/view?usp=drivesdk,55473,2026-03-23T19:22:26.718Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
66,no,Diamante ART.pdf,https://drive.google.com/file/d/1LUBItv9m5SRa4c9aD15f0_c64604UCIo/view?usp=drivesdk,55473,2025-08-01T02:49:36.039Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
67,YES,Diamante SHAREHOLDERS.pdf,https://drive.google.com/file/d/1IQBvhZ9zCgCqbJfvScxXKKxKS_P7kRn9/view?usp=drivesdk,104371,2026-03-23T19:22:26.714Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
67,no,Diamante SHAREHOLDERS.pdf,https://drive.google.com/file/d/1nY4DVcEgTyeUY-qTBOra_baFzaE-5CqS/view?usp=drivesdk,104371,2025-08-01T02:49:36.006Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
68,YES,Diamante REG.pdf,https://drive.google.com/file/d/12Kpv-6YN_jxKlp81IDQLr_bEJ1qWVtr0/view?usp=drivesdk,113001,2026-03-23T19:22:26.714Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
68,no,Diamante REG.pdf,https://drive.google.com/file/d/1L2wda3hb5_BlUOB0uNFl3SU0pjFX9dPT/view?usp=drivesdk,113001,2025-08-01T02:49:36.024Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
69,YES,Invoice 13799RP.pdf,https://drive.google.com/file/d/1Tt9GBEl15uyGIS1zTEGXfURNbBIqpkpr/view?usp=drivesdk,135642,2026-03-23T18:30:06.854Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
69,no,Invoice 13799RP.pdf,https://drive.google.com/file/d/1lYqoZoBNgB87B8flLlat_UFMCnUS8T9y/view?usp=drivesdk,135642,2025-07-29T05:14:49.899Z,,Invoices /Invoices from gmail
70,YES,15981 110b Ave NW Invoice Working Drawings.pdf,https://drive.google.com/file/d/1eMleQuOnc1wbiXH-38kz-BQn6hF4yfxu/view?usp=drivesdk,58706,2026-03-23T18:06:36.354Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
70,no,15981 110b Ave NW Invoice Working Drawings.pdf,https://drive.google.com/file/d/1N4Fq2GEkhKqerkAwYyJlpWW3A4IIILCZ/view?usp=drivesdk,58706,2025-07-15T18:53:15Z,15981 110B Ave NW (9-Plex),Invoices /Invoices from gmail
71,YES,15981 110b Ave NW Invoice (revised).pdf,https://drive.google.com/file/d/1l2P70EZvHeK1kjDOfzL93aRV4X6rf4RC/view?usp=drivesdk,60572,2026-03-23T18:02:39Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
71,no,15981 110b Ave NW Invoice (revised).pdf,https://drive.google.com/file/d/17DYMgmPuxqKnnekOYHF2uPWvv75zdOBr/view?usp=drivesdk,60572,2025-07-15T18:55:10Z,15981 110B Ave NW (9-Plex),Invoices /Invoices from gmail
72,YES,Emanation_Invoice_12020_129St.docx,https://drive.google.com/file/d/11tNYBMhs6HXyQZn5vBeEyl6ww0h8mbFY/view?usp=drivesdk,9231,2026-03-20T16:41:22Z,,2025 Tax/2025 Tax Emanation 
72,no,Emanation_Invoice_12020_129St.docx,https://drive.google.com/file/d/1kPey4kUl9mNofExG8x-HSwa-yeBZZTqC/view?usp=drivesdk,9231,2026-03-20T16:41:22Z,Sherbrooke,2025 Tax/2025 Flips/Wholesale /Sherbrooke Corner Lot PKG.
73,YES,Emanation_Invoice_JasperPark.docx,https://drive.google.com/file/d/1FJbNC-2ECqrr13lrqNwZCr9wOiNYwM-U/view?usp=drivesdk,9331,2026-03-20T16:29:00Z,,2025 Tax/2025 Flips/Wholesale 
73,no,Emanation_Invoice_JasperPark.docx,https://drive.google.com/file/d/12IbiNHU2VjqnaR3U2b5Qc8Itnb1rwWh2/view?usp=drivesdk,9331,2026-03-20T16:29:00Z,Jasper Park,Jasper Park/Jasper Park-Invoice
74,YES,Backyard House Building Permit Statement.pdf,https://drive.google.com/file/d/1GNmcJNrnAJdWFyCbyRNCkRt8Bku8mcRk/view?usp=drivesdk,135197,2026-03-19T20:45:28.327Z,Mayfield 110,Mayfield 110/Plans & Surveys 
74,no,Backyard House Building Permit Statement.pdf,https://drive.google.com/file/d/18GnKTtOZVPFhmkYCDUJ7S8oD-q7q0U_y/view?usp=drivesdk,135197,2026-03-19T20:43:58Z,Mayfield 110,Mayfield 110/Mayfield-Invoice 
75,YES,UTF-8Articles-of-Incorporation.pdf,https://drive.google.com/file/d/11pfZftyQTL-9zTMjGTwkPnI-uZ8tv6oP/view?usp=drivesdk,165395,2026-03-12T05:56:40Z,,IBH Tax
75,no,UTF-8Articles-of-Incorporation.pdf,https://drive.google.com/file/d/1Bu8mURoFiConJWAok5dIbMw9YOcfgSrG/view?usp=drivesdk,165395,2025-04-26T01:57:18Z,,IBH Tax/Corp Docs
76,YES,ATCO Contract for 01603459 - ACTION REQUIRED_encrypted_.pdf,https://drive.google.com/file/d/1CEX-1LweLI4HNk29wmQJu3c1q3Mr9kwx/view?usp=drivesdk,135947,2026-03-12T05:56:40Z,,IBH Tax
76,no,ATCO Contract for 01603459 - ACTION REQUIRED_encrypted_.pdf,https://drive.google.com/file/d/1hRpEOYKAh_AQtC4d_zUzPqq1yqpQ4DLt/view?usp=drivesdk,135947,2025-10-29T17:15:30Z,,IBH Tax/Invoices Paid by Madison
77,YES,EPCOR_Bills_05-03-2026 13_24_33.pdf,https://drive.google.com/file/d/1qKUBEhCimH490pVHdQrH-SQJI3fuC3Gn/view?usp=drivesdk,382048,2026-03-12T05:56:40Z,,IBH Tax
77,no,EPCOR_Bills_05-03-2026 13_24_33.pdf,https://drive.google.com/file/d/16pGgpwWuIwB_llCd_8WGSE0MkRWISspD/view?usp=drivesdk,382048,2026-03-05T20:24:33Z,,IBH Tax/Invoices Paid by Madison
78,YES,Invoice-2.pdf,https://drive.google.com/file/d/1hbqDeARvnQvt96wUr0S6hm6SSPWOCjbh/view?usp=drivesdk,208368,2026-03-12T05:56:40Z,,IBH Tax
78,no,Invoice-2.pdf,https://drive.google.com/file/d/1bbw-lQIl4VCDzW6DO5lDC28ubIWS-hfN/view?usp=drivesdk,208368,2025-11-27T23:25:16Z,Verum (9121 152 St),IBH Tax/9121 152 St NW Expenses
79,YES,10848 153 ST Edmonton.pdf,https://drive.google.com/file/d/1MINITEpkCM3U1J5JLg6LIUF5RFQAsZCF/view?usp=drivesdk,1399370,2026-03-12T05:56:40Z,In-Between Homes (10848 153 St),IBH Tax
79,no,10848 153 ST Edmonton.pdf,https://drive.google.com/file/d/1T3l76ve24HWZ8RyvdGBu7M5ZSwIORWI2/view?usp=drivesdk,1399370,2024-12-31T16:43:46.116Z,In-Between Homes (10848 153 St),2025 Tax/2025 Flips/Wholesale /In Between Homes /IN-Between Homes /Outlook
80,YES,Policy Change MAXIN1 NWGDYPFL.pdf,https://drive.google.com/file/d/1xZ3xVrtnbgD4gcs_RZn6CcvoWV3LevgG/view?usp=drivesdk,35845,2026-03-12T05:56:40Z,,IBH Tax
80,no,Policy Change MAXIN1 NWGDYPFL.pdf,https://drive.google.com/file/d/1WmXgjyEhAWS4dV_9MIv5XajWvsxH_qXW/view?usp=drivesdk,35845,2025-10-20T02:26:32.328Z,,2025 Tax/2025 Flips/Wholesale /In Between Homes 
81,YES,Abatement (1).pdf,https://drive.google.com/file/d/1-D1L4Wkb-hPeAKTlNfBs3qeizSbR1OXl/view?usp=drivesdk,36059,2026-03-12T05:56:40Z,,IBH Tax
81,no,Abatement (1).pdf,https://drive.google.com/file/d/1S-puSmvy8qINuE11i3s-zrtxyBHsO_qB/view?usp=drivesdk,36059,2026-03-05T19:47:49.770Z,,IBH Tax/Invoices Paid by Madison
82,YES,Assignment Agreement.pdf,https://drive.google.com/file/d/1Baxg-_7OKbsf8usyFcXM0W4mphUPvCIX/view?usp=drivesdk,399839,2026-03-12T05:56:40Z,,IBH Tax
82,no,Assignment Agreement.pdf,https://drive.google.com/file/d/1hmMMtY3PJGKJtDk7zcj6ywWToo2KP9Gw/view?usp=drivesdk,399839,2024-12-31T16:43:21.163Z,In-Between Homes (10848 153 St),2025 Tax/2025 Flips/Wholesale /In Between Homes /IN-Between Homes /Outlook
83,YES,Tree Removal .pdf,https://drive.google.com/file/d/149qJihNVV0aAKyKR0tuZ2ytzIgLSwYdb/view?usp=drivesdk,59364,2026-03-12T05:56:40Z,,IBH Tax
83,no,Tree Removal .pdf,https://drive.google.com/file/d/1_MiaWKm_C4lnmaNhwJauc5ZAAYdLadxF/view?usp=drivesdk,59364,2026-03-05T19:47:18.694Z,,IBH Tax/Invoices Paid by Madison
